velocity_ms,tab_deflection_deg,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_origin_Nm,M_roll_Nm,M_roll_std_Nm,iterations
40,-20,-0.10153,0.48646,0.15605,-0.060625,-0.021747,0.032529,0.052522,0.000322,1000
40,-15,-0.09862,0.35464,0.06236,-0.043254,-0.015246,0.023739,0.038315,0.000885,1000
40,-10,-0.09310,0.20588,-0.00494,-0.024704,-0.010214,0.013809,0.022271,0.000767,1000
40,-5,-0.08840,0.08753,-0.04301,-0.009854,-0.007136,0.005938,0.009536,0.000001,1000
40,-2,-0.08535,0.02366,-0.05103,-0.002432,-0.006241,0.001688,0.002660,0.000010,1000
40,0,-0.08618,-0.01331,-0.05386,0.001657,-0.006177,-0.000763,-0.001310,0.000050,1000
40,2,-0.08083,-0.05223,-0.05236,0.006060,-0.005660,-0.003342,-0.005489,0.000004,1000
40,5,-0.07329,-0.11970,-0.04727,0.013751,-0.005105,-0.007851,-0.012771,0.000002,1000
40,10,-0.06474,-0.23828,-0.01554,0.027608,-0.006196,-0.015805,-0.025598,0.000173,1000
40,15,-0.05793,-0.38972,0.05090,0.046760,-0.009920,-0.025872,-0.041890,0.000547,1000
40,20,-0.05222,-0.55183,0.13376,0.066509,-0.014972,-0.036708,-0.059388,0.000358,1000
80,-20,-0.41054,2.09311,0.64090,-0.259681,-0.088294,0.140369,0.226395,0.000543,1000
80,-15,-0.39881,1.45483,0.24224,-0.177446,-0.060894,0.097430,0.157224,0.001737,1000
80,-10,-0.37811,0.83561,-0.03727,-0.100067,-0.040320,0.056051,0.090394,0.001944,1000
80,-5,-0.35818,0.36396,-0.19004,-0.041101,-0.027828,0.024690,0.039649,0.000005,696
80,-2,-0.34881,0.11329,-0.22382,-0.012096,-0.024478,0.008052,0.012708,0.000003,868
80,0,-0.34536,-0.04638,-0.23335,0.005757,-0.023554,-0.002595,-0.004501,0.000008,571
80,2,-0.32687,-0.21006,-0.22931,0.024431,-0.021704,-0.013468,-0.022101,0.000024,511
80,5,-0.30156,-0.49485,-0.20863,0.056965,-0.020065,-0.032475,-0.052813,0.000024,660
80,10,-0.26690,-0.98604,-0.08298,0.114092,-0.024346,-0.065397,-0.105924,0.000471,1000
80,15,-0.21164,-1.59927,0.17781,0.190651,-0.035467,-0.106277,-0.172007,0.003103,1000
80,20,-0.21516,-2.27157,0.52207,0.272861,-0.059889,-0.151210,-0.244572,0.002268,1000
120,-20,-0.92322,4.78234,1.44256,-0.592178,-0.198450,0.320893,0.517447,0.001711,1000
120,-15,-0.90380,3.32349,0.54139,-0.404847,-0.137428,0.222633,0.359228,0.004024,1000
120,-10,-0.84893,1.93223,-0.08003,-0.231639,-0.090687,0.129665,0.209080,0.005875,1000
120,-5,-0.81171,0.83087,-0.44309,-0.093877,-0.062247,0.056370,0.090519,0.000015,1000
120,-2,-0.79075,0.26501,-0.51870,-0.028445,-0.054709,0.018809,0.029701,0.000015,649
120,0,-0.77865,-0.10276,-0.53997,0.012660,-0.052179,-0.005688,-0.009912,0.000046,1000
120,2,-0.73718,-0.47873,-0.53419,0.055669,-0.047807,-0.030687,-0.050362,0.000286,1000
120,5,-0.65352,-1.13349,-0.48505,0.130630,-0.041208,-0.074433,-0.121019,0.000016,1000
120,10,-0.60375,-2.25277,-0.19795,0.260847,-0.054424,-0.149407,-0.241996,0.000866,1000
120,15,-0.45502,-3.61987,0.37409,0.430518,-0.075582,-0.240675,-0.389452,0.006493,1000
120,20,-0.45022,-5.15672,1.14874,0.618494,-0.128361,-0.343707,-0.555648,0.007421,1000
