time_ms,state,num_sats,pdop,lat,lon,alt_m,h_acc,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pressure_alt,alt_rate,max_alt,max_speed,voltage,current,soc,roll,pitch,yaw,speed,launch,vel_apo,alt_apo,landed,rssi,snr,next_ch,rx_freq_mhz,seq,gap,event
0,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-76,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-38,12.5,255,915.000,0,-1,
462,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-81,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,12.5,255,915.000,1,0,
962,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-82,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-39,13.0,255,915.000,2,0,
1463,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-84,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-37,12.8,255,915.000,3,0,
1962,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-82,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.5,255,915.000,4,0,
2462,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-77,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,13.2,255,915.000,5,0,
2962,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-76,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.5,255,915.000,6,0,
3464,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-81,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,14.2,255,915.000,7,0,
3962,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-79,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,14.8,255,915.000,8,0,
4462,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-79,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,13.5,255,915.000,9,0,
4963,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-79,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,13.5,255,915.000,10,0,
5464,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-79,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.8,255,915.000,11,0,
5965,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-81,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.2,255,915.000,12,0,
6466,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-91,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.5,255,915.000,13,0,
6967,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-81,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,13.8,255,915.000,14,0,
7466,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-80,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,13.0,255,915.000,15,0,
7966,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-79,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,13.5,255,915.000,16,0,
8466,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-81,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.5,255,915.000,17,0,
8966,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,-89,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.5,255,915.000,18,0,
9467,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-81,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,14.8,255,915.000,19,0,
9967,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,-79,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,13.8,255,915.000,20,0,
10466,INIT,0,0.0,nan,nan,nan,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-85,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.5,255,915.000,21,0,
10970,READY,0,26.0,nan,nan,nan,0.0,9.60,0.00,-0.50,0.5,0.0,-0.1,0.0,0.0,0.0,0.0,8.34,-109,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.5,255,915.000,22,0,
11473,READY,0,26.0,nan,nan,nan,0.0,9.70,-0.20,-0.70,0.1,-0.3,-0.1,0.0,0.0,0.0,0.0,8.34,-112,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,14.8,255,915.000,23,0,
11975,READY,0,26.0,nan,nan,nan,0.0,9.70,-0.20,-0.70,0.0,-0.2,-0.1,0.0,0.0,0.0,0.0,8.34,-182,97.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.8,255,915.000,24,0,
12476,READY,0,26.0,nan,nan,nan,0.0,9.70,-0.20,-0.70,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,8.34,-87,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-36,14.0,255,915.000,25,0,
12994,READY,0,26.0,nan,nan,nan,0.0,9.70,-0.20,-0.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,-91,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-35,12.2,255,915.000,26,0,
13480,READY,0,26.0,nan,nan,nan,0.0,9.70,-0.20,-0.70,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,8.34,-92,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-34,12.8,255,915.000,27,0,
13979,READY,0,26.0,nan,nan,nan,0.0,9.70,-0.20,-0.70,0.0,-0.2,-0.1,0.0,0.0,0.0,0.0,8.34,-92,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-34,12.8,255,915.000,28,0,
14481,READY,0,26.0,nan,nan,nan,0.0,9.70,-0.20,-0.70,-0.2,0.0,-0.1,0.0,0.0,0.0,0.0,8.34,-91,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-33,12.8,255,915.000,29,0,
14994,READY,0,26.0,nan,nan,nan,0.0,9.70,-0.20,-0.60,0.0,-0.2,-0.1,0.0,0.0,0.0,0.0,8.34,-92,98.0,0.0,0.0,0.0,0.0,0,0,0,0,-33,12.8,255,915.000,30,0,
