"Id";"Designator";"Footprint";"Quantity";"Designation";"MPN";"Mfr";"Fit"
1;"BT2";"BAT_BH-18650-A5BJ001-2D";1;"BH-18650-A5BJ001-2D";"BH-18650-A5BJ001-2D";"MYOUNG";"Fit"
2;"C1, C9, C12, C14, C16, C17, C22, C23, C29, C30, C33";"C_0402_1005Metric";11;"100 nF";"CL05B104KO5NNNC";"Samsung";"Fit"
3;"C2, C4";"C_0402_1005Metric";2;"22 pF";"CL05C220JB5NNNC";"Samsung";"Fit"
4;"C3, C6";"C_0402_1005Metric";2;"12 pF";"CL05C120JB5NNNC";"Samsung";"Fit"
5;"C8, C13, C18, C27, C28";"C_0402_1005Metric";5;"1 uF";"CL05A105KO5NNNC";"Samsung";"Fit"
6;"C10, C15, C19";"C_0402_1005Metric";3;"10 uF";"CL05A106MQ5NUNC";"Samsung";"Fit"
7;"C11, C21";"C_0402_1005Metric";2;"10 nF";"CL05B103KB5NNNC";"Samsung";"Fit"
8;"C20, C42, C58, C59, C60, C61, C62";"C_0805_2012Metric";7;"22 uF";"CL21A226KOQNNNE";"Samsung";"Fit"
9;"C88";"C_0402_1005Metric";1;"2.2 nF";"CC0402KRX7R9BB222";"Yageo";"Fit"
10;"CR1";"TVS-SP05_LTF";1;"SP0503BAHTG";"SP0503BAHTG";"Littelfuse";"Fit"
11;"D6";"LED_D3.0mm";1;"Green";"XL-302SYGD";"Xinglight";"Fit"
12;"D9";"LED_D3.0mm";1;"Blue";"XL-304UBC";"Xinglight";"Fit"
13;"J2";"USB_C_HRO_TYPE-C-31-M-12";1;"TYPE-C-31-M-12";"TYPE-C-31-M-12";"Korean Hroparts";"Fit"
14;"J8";"RFSOLUTIONS_CON-SMA-EDGE-S";1;"CON-SMA-EDGE-S";"CON-SMA-EDGE-S";"generic";"Fit"
15;"L2";"L_0402_1005Metric";1;"24 nH";"LQW15AN24NH00D";"Murata";"Fit"
16;"L3";"L_0402_1005Metric";1;"2 nH";"LQG15HS2N0S02D";"Murata";"Fit"
17;"L4";"L_0402_1005Metric";1;"4.3 nH";"LQW15AN4N3C00D";"Murata";"Fit"
18;"L9";"IND_VLS3012CX-2R2M-1";1;"VLS3012CX-2R2M-1";"VLS3012CX-2R2M-1";"TDK";"Fit"
19;"Q1, Q2, Q3";"SOT-23-6";3;"FS8205A";"FS8205A";"TECH PUBLIC";"Fit"
20;"R1, R2";"R_0402_1005Metric";2;"10 k";"RC0402FR-0710KL";"Yageo";"Fit"
21;"R3, R4";"R_0402_1005Metric";2;"22";"RC0402FR-0722RL";"Yageo";"Fit"
22;"R7";"R_0402_1005Metric";1;"100 k";"RC0402FR-07100KL";"Yageo";"Fit"
23;"R13, R44, R46";"R_0402_1005Metric";3;"1 M";"RC0402FR-071ML";"Yageo";"Fit"
24;"R14, R15";"R_0402_1005Metric";2;"5.11 k";"RC0402FR-075K11L";"Yageo";"Fit"
25;"R16";"R_0402_1005Metric";1;"180 k";"RC0402FR-07180KL";"Yageo";"Fit"
26;"R41, R54";"R_0402_1005Metric";2;"150";"RC0402FR-07150RL";"Yageo";"Fit"
27;"R52";"R_0402_1005Metric";1;"680";"RC0402FR-07680RL";"Yageo";"Fit"
28;"R53";"R_0402_1005Metric";1;"210 k";"RC0402FR-07210KL";"Yageo";"Fit"
29;"R55";"R_0402_1005Metric";1;"100";"RC0402FR-07100RL";"Yageo";"Fit"
30;"R57";"R_0402_1005Metric";1;"2 k";"RC0402FR-072KL";"Yageo";"Fit"
31;"S1";"SW_PB400EEQR1BLK";1;"PB400EEQR1BLK";"PB400EEQR1BLK";"E-Switch";"Fit"
32;"S3";"R-667995_MIT";1;"R-667995";"R-667995";"Mitsumi Electric";"Fit"
33;"TH1";"R_0603_1608Metric";1;"Thermistor 10k NTC B3435";"TX06F103F3435ER";"Ohmite";"Fit"
34;"U1";"SOIC127P790X216-8N";1;"GD25Q128ESIG";"GD25Q128ESIG";"GigaDevice";"Fit"
35;"U3";"IC_ESP32-S3";1;"ESP32-S3RH2";"ESP32-S3RH2";"Espressif";"Fit"
36;"U5";"SOT95P280X145-6N";1;"BQ21040DBVR";"BQ21040DBVR";"TI";"Fit"
37;"U9";"IC_TPS63021DSJR";1;"TPS63020DSJR";"TPS63020DSJR";"TI";"Fit"
38;"U14";"SOT-23-6";1;"DW01A";"DW01A";"PUOLOP";"Fit"
39;"U15";"ANT_47948-0001_MOL";1;"479480001";"479480001";"Molex";"Fit"
40;"U16";"E220-900MM22S";1;"E220-900MM22S";"E220-900MM22S";"Ebyte";"Fit"
41;"U22";"SOT95P280X145-6N";1;"TPS22918DBVR";"TPS22918DBVR";"TI";"Fit"
42;"Y1";"XTAL_SC-32S_3215";1;"ABS07-32.768KHZ-T";"ABS07-32.768KHZ-T";"Abracon";"Fit"
43;"Y2";"XTAL_ECS-400-10-37B2-CKY-TR";1;"ECS-400-10-37B2-CKY-TR";"ECS-400-10-37B2-CKY-TR";"ECS";"Fit"
