"Id";"Designator";"Footprint";"Quantity";"Designation";"MPN";"Mfr";"Fit"
1;"BT2";"BAT_BH-18650-A5BJ001-2D";1;"BH-18650-A5BJ001-2D";"BH-18650-A5BJ001-2D";"MYOUNG";"Fit"
2;"C1, C9, C12, C14, C16, C17, C23, C29, C30, C33, C52, C55, C56";"C_0402_1005Metric";13;"100 nF";"CL05B104KO5NNNC";"Samsung";"Fit"
3;"C2, C4";"C_0402_1005Metric";2;"22 pF";"CL05C220JB5NNNC";"Samsung";"Fit"
4;"C3, C6";"C_0402_1005Metric";2;"12 pF";"CL05C120JB5NNNC";"Samsung";"Fit"
5;"C8, C13, C18, C27, C28, C51";"C_0402_1005Metric";6;"1 uF";"CL05A105KO5NNNC";"Samsung";"Fit"
6;"C10, C15, C19";"C_0402_1005Metric";3;"10 uF";"CL05A106MQ5NUNC";"Samsung";"Fit"
7;"C11, C21";"C_0402_1005Metric";2;"10 nF";"CL05B103KB5NNNC";"Samsung";"Fit"
8;"C34, C40, C41, C42, C48, C53, C54, C58, C59, C60, C61, C62";"C_0805_2012Metric";12;"22 uF";"CL21A226MOQNNNE";"Samsung";"Fit"
9;"C88";"C_0402_1005Metric";1;"2.2 nF";"CC0402KRX7R9BB222";"Yageo";"Fit"
10;"CR1";"TVS-SP05_LTF";1;"SP0503BAHTG";"SP0503BAHTG";"Littelfuse";"Fit"
11;"D6";"LED_D3.0mm";1;"Green";"WP710A10GD";"Kingbright";"Fit"
12;"D7";"LED_D3.0mm";1;"Yellow";"WP710A10YD";"Kingbright";"Fit"
13;"D8";"LED_0402_1005Metric";1;"Blue";"APHHS1005QBC/D";"Kingbright";"Fit"
14;"D9";"LED_D3.0mm";1;"Blue";"WP710A10QBC/D";"Kingbright";"Fit"
15;"J2";"GCT_USB4110GFA";1;"USB4110GFA";"USB4110-GF-A";"GCT";"Fit"
16;"J4";"JST_EH_S3B-EH_1x03_P2.50mm_Horizontal";1;"S3B-XH-A";"S3B-XH-A";"JST";"Fit"
17;"J6";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"Conn_01x04";"BM04B-SRSS-TB";"JST";"Fit"
18;"L2";"L_0402_1005Metric";1;"24 nH";"LQW15AN24NH00D";"Murata";"Fit"
19;"L3";"L_0402_1005Metric";1;"2 nH";"LQG15HS2N0S02D";"Murata";"Fit"
20;"L4";"L_0402_1005Metric";1;"4.3 nH";"LQW15AN4N3C00D";"Murata";"Fit"
21;"L6";"IND_SRP4020TA-1R5M";1;"SRP4020TA-1R5M";"SRP4020TA-1R5M";"Bourns";"Fit"
22;"L8, L9";"IND_VLS3012CX-2R2M-1";2;"VLS3012CX-2R2M-1";"VLS3012CX-2R2M-1";"TDK";"Fit"
23;"Q1, Q2, Q3";"SOT-23-6";3;"FS8205A";"FS8205A";"TECH PUBLIC";"Fit"
24;"R1, R2, R43";"R_0402_1005Metric";3;"10 k";"RC0402FR-0710KL";"Yageo";"Fit"
25;"R3, R4";"R_0402_1005Metric";2;"22";"RC0402FR-0722RL";"Yageo";"Fit"
26;"R5, R6, R14, R15";"R_0402_1005Metric";4;"5.11 k";"RC0402FR-075K11L";"Yageo";"Fit"
27;"R7, R12, R17, R48, R49, R50, R51";"R_0402_1005Metric";7;"100 k";"RC0402FR-07100KL";"Yageo";"Fit"
28;"R11";"R_0402_1005Metric";1;"732 k";"RC0402FR-07732KL";"Yageo";"Fit"
29;"R13, R40, R44, R46";"R_0402_1005Metric";4;"1 M";"RC0402FR-071ML";"Yageo";"Fit"
30;"R16, R42";"R_0402_1005Metric";2;"180 k";"RC0402FR-07180KL";"Yageo";"Fit"
31;"R18, R39";"R_0402_1005Metric";2;"1 k";"RC0402FR-071KL";"Yageo";"Fit"
32;"R36";"R_0402_1005Metric";1;"5.49 k";"RC0402FR-075K49L";"Yageo";"Fit"
33;"R37, R57";"R_0402_1005Metric";2;"2 k";"RC0402FR-072KL";"Yageo";"Fit"
34;"R38, R41, R54";"R_0402_1005Metric";3;"150";"RC0402FR-07150RL";"Yageo";"Fit"
35;"R45, R47";"R_1206_3216Metric";2;"60.4";"CRCW120660R4FKEAHP";"Vishay";"Fit"
36;"R52";"R_0402_1005Metric";1;"675";"RC0402FR-07675RL";"Yageo";"Fit"
37;"R53";"R_0402_1005Metric";1;"210 k";"RC0402FR-07210KL";"Yageo";"Fit"
38;"R55";"R_0402_1005Metric";1;"100";"RC0402FR-07100RL";"Yageo";"Fit"
39;"S1";"SW_PB400EEQR1BLK";1;"PB400EEQR1BLK";"PB400EEQR1BLK";"E-Switch";"Fit"
40;"S3";"R-667995_MIT";1;"R-667995";"R-667995";"Mitsumi Electric";"Fit"
41;"TH1";"PinHeader_1x02_P2.54mm_Vertical";1;"Thermistor - 4316-103AT-2-ND";"103AT-2";"Semitec";"Fit"
42;"U1";"SOIC-8_W25Q128JVSIQ";1;"W25Q128JVSIQ";"W25Q128JVSIQ";"Winbond";"Fit"
43;"U2";"DRL0006A";1;"TPS61023DRLR";"TPS61023DRLR";"Texas Instruments";"Fit"
44;"U3";"IC_ESP32-S3";1;"ESP32-S3RH2";"ESP32-S3RH2";"Espressif";"Fit"
45;"U5";"SOT95P280X145-6N";1;"BQ21040DBVR";"BQ21040DBVR";"TI";"Fit"
46;"U9";"IC_TPS63021DSJR";1;"TPS63020DSJR";"TPS63020DSJR";"TI";"Fit"
47;"U12";"QFN-18_2MMx3MM_MP2672_MNP_MPS";1;"MP2672AGD-0000-Z";"MP2672AGD-0000-Z";"MPS";"Fit"
48;"U14";"SOT-23-6";1;"DW01A";"DW01A";"PUOLOP";"Fit"
49;"U15";"ANT_47948-0001_MOL";1;"479480001";"479480001";"Molex";"Fit"
50;"U22";"SOT95P280X145-6N";1;"TPS22918DBVR";"TPS22918DBVR";"TI";"Fit"
51;"Y1";"XTAL_SC-32S_3215";1;"ABS07-32.768KHZ-T";"ABS07-32.768KHZ-T";"Abracon";"Fit"
52;"Y2";"XTAL_ECS-400-10-37B2-CKY-TR";1;"ECS-400-10-37B2-CKY-TR";"ECS-400-10-37B2-CKY-TR";"ECS";"Fit"
