"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";"MPN";"Constraint"
1;"C1, C135, C136";"C_0805_2012Metric";3;"22 uF";;"CL21A226MOQNNNE";"Fleet 0805 bulk cap, 16 V X5R. Samsung lists it NRND (named successor CL21A226MOYNNN) -- qualify before the next reel buy. C136 is the LDO input cap on raw pack voltage (7.4 V nominal, 8.4 V on a full 2S; the SMF10A clamps at up to 17 V for the pulse only), so 16 V stays the floor. C135 (LDO output) and C1 (+3V3 at the module) sit at 3.3 V. ADP7142 needs >= 1.5 uF effective with ESR 1 mOhm-0.3 Ohm; this part derates to ~6.6 uF at 8.4 V and ~15 uF at 3.3 V. C135/C136 are annotation leftovers; renumber together with the PCB."
2;"C3, C5, C16";"C_0402_1005Metric";3;"100 nF";;"CL05B104KO5NNNC";"C3 is the LDO input HF cap at U2 pins 7/8. C5 and C16 decouple the module; C16 is meant for V_IO (U1 pin 2) -- place it within ~1 mm of the pin with its own GND via."
3;"C6";"C_0402_1005Metric";1;"100 pF";;"CL05C101JB5NNNC";"HF decoupling at U1 pin 17 (VCC). At 1.5 GHz the value is immaterial; placement within ~1 mm with its own GND via is what counts."
4;"C7";"C_0402_1005Metric";1;"2.2 nF";;"CC0402KRX7R9BB222";"ADP7142 soft-start capacitor: t_SS = 320 us + 0.6 us/pF = 1.64 ms, which keeps the 44 uF output-side charging current plus the module's 100 mA start-up inrush under the 220 mA current-limit floor (1 nF put it at 211-258 mA). Never leave SS open, never ground it (datasheet Table 4)."
5;"D1, D3";"LED_0402_1005Metric";2;"Green";;"XL-1005UGC";"Green Vf is load-bearing on D1: it is the only thing holding TIMEPULSE/SAFEBOOT_N above the safeboot threshold at startup. Do not fit a low-Vf part and do not replace D1 with a plain resistor to ground."
6;"D2";"D_SMF";1;"SMF10A";;"SMF10A";"Do not substitute SMF12A. Standoff 10 V clears a full 8.4 V 2S pack. Clamps VSYS to VSS on the connector side of FL1 so a surge never enters the choke; Vc max 17 V is far under the ADP7142's 44 V input maximum. (Same part is CR1 on the V2 buck board and on the px1105r carrier.)"
7;"FL1";"FIL_DLW21SN670HQ2L";1;"DLW21SN670HQ2L";;"DLW21SN670HQ2L";"Common-mode choke on VSYS/VSS, rated 320 mA; <= 60 mA steady on this board. The footprint's solder paste is drawn as four polygons on F.Paste rather than on the pads; that is the SnapEDA convention this library uses, and the apertures do plot. Do not 'fix' it by adding pad paste as well."
8;"FL2";"BEADC1608X95N";1;"BLM18PG471SN1D";;"BLM18PG471SN1D";"470 Ohm @ 100 MHz bead between the LDO output and the module's +3V3. Its DCR (~0.2-0.25 Ohm) sits at u-blox's 0.2 Ohm series-resistance rule (IM 4.1.1); accepted knowingly -- the identical bead fed the 27-satellite 2026-06-10 board. Do not swap for the 20 Ohm WE-CBA 782853200 used by the V2 buck design."
9;"H1, H2, H3, H4";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole";;;"Pads are tied to GND. DIN965 is a countersunk head and will not seat flat on a plain pad."
10;"J3";"CONN_BM05B-SRSS-TB_JST";1;"BM05B-SRSS-TB";;"BM05B-SRSS-TB";"Pin 5 carries TIMEPULSE (PPS) through R9 to host GPIO2; the host pin must stay an input. On gnss-px1105r the same pin is RXD2, driven by the host. Board is silkscreened accordingly."
11;"R1, R3";"R_0402_1005Metric";2;"10 k";;"RC0402FR-0710KL";"LED series. At 10 k both LEDs run 0.13 mA and are barely visible outdoors. R3 stays 10 k -- decided 2026-09-02; these are indicators, not illumination. Change R1 only after scoping the TIMEPULSE/SAFEBOOT node during the V_IO ramp (D1's Vf, not R1, holds it above threshold)."
12;"R2, R7, R8, R9";"R_0402_1005Metric";4;"1 k";;"RC0402FR-071KL";"R7/R8 are UART series protection; R9 is the PPS series resistor into J3.5. R2 parallels the module's internal 7-13 k RESET_N pull-up (harmless; deletable)."
13;"U1";"XCVR_SAM-M10Q-00B";1;"SAM-M10Q-00B";;"SAM-M10Q-00B";"Patch antenna faces the B.Cu side of the board. Single upright reflow on the u-blox profile (peak 245 C, 40-60 s above 217 C); no hot-air rework; MSL 4 (bake before any rework of a mounted module past 72 h)."
14;"U2";"SOIC127P600X175-9N";1;"ADP7142ARDZ-3.3";;"ADP7142ARDZ-3.3";"FIXED 3.3 V variant ONLY (tube ADP7142ARDZ-3.3, reel ADP7142ARDZ-3.3-R7). SENSE (pin 3) is tied to VOUT and there is no divider on the board: the adjustable ADP7142ARDZ would regulate at 1.2 V and the module would never start. Exposed pad to GND (9 vias). Dissipation (8.4 - 3.3 V) x 15-40 mA = 77-204 mW."
