"Id";"Designator";"Footprint";"Quantity";"Designation";"MPN";"Mfr";"Fit"
1;"C1, C2, C16, C24, C26, C29, C31, C33, C34, C38, C42, C51, C65, C115, C118, C120, C122, C123, C139";"C_0402_1005Metric";19;"100 nF";"CL05B104KO5NNNC";"Samsung";"Fit"
2;"C3, C4, C5, C6, C32, C36, C53, C94, C105, C121, C125, C141, C142";"C_0402_1005Metric";13;"10 uF";"CL05A106MQ5NUNC";"Samsung";"Fit"
3;"C8, C9, C10, C11, C13, C17, C23, C37, C43, C47, C48, C49, C135";"C_0805_2012Metric";13;"22 uF";"CL21A226KOQNNNE";"Samsung";"Fit"
4;"C19, C21, C110, C111";"C_0402_1005Metric";4;"22 pF";"CL05C220JB5NNNC";"Samsung";"Fit"
5;"C20, C22, C112, C113";"C_0402_1005Metric";4;"12 pF";"CL05C120JB5NNNC";"Samsung";"Fit"
6;"C25, C27, C30, C35, C41, C52, C54, C59, C76, C114, C116, C119, C124";"C_0402_1005Metric";13;"1 uF";"CL05A105KO5NNNC";"Samsung";"Fit"
7;"C28, C39, C104, C117";"C_0402_1005Metric";4;"10 nF";"CL05B103KB5NNNC";"Samsung";"Fit"
8;"C44";"C_0402_1005Metric";1;"390 pF";"CL05C391JB5NNNC";"Samsung";"Fit"
9;"C130";"Supercap_Radial_D10.0mm_L20.0mm_P5.00mm_Horizontal";1;"HV1020-2R7505-R";"HV1020-2R7505-R";"Eaton";"Fit"
10;"CR3";"TVS-SP05_LTF";1;"SP0503BAHTG";"SP0503BAHTG";"Littelfuse";"Fit"
11;"D1, D2, D3, D4, D16";"SOD-523_0P9X1P3_ONS";5;"BAT54XV2T1G";"BAT54XV2T1G";"onsemi";"Fit"
12;"D6";"LED_0402_1005Metric";1;"Green";"XL-1005UGC";"Xinglight";"Fit"
13;"D7, D11";"LED_0402_1005Metric";2;"Blue";"APHHS1005QBC/D";"Kingbright";"Fit"
14;"D9";"SOT-883";1;"BAV170M";"BAV170M,315";"Nexperia";"Fit"
15;"D10";"LED_0402_1005Metric";1;"Red";"NCD0402R1";"NationStar";"Fit"
16;"J2";"CUI_TBLH11-350-05-BK";1;"JL212R-SMT-35005BP1";"JL212R-SMT-35005BP1";"JILN";"Fit"
17;"J3";"JST_B2B-PH-SM4-TB";1;"JST_B2B-PH-SM4-TB";"B2B-PH-SM4-TB";"JST";"Fit"
18;"J6";"GCT_USB4110GFA";1;"USB4110GFA";"USB4110-GF-A";"GCT";"Fit"
19;"J8";"RFSOLUTIONS_CON-SMA-EDGE-S";1;"CON-SMA-EDGE-S";"CON-SMA-EDGE-S";"generic";"Fit"
20;"L1";"L_0402_1005Metric";1;"4.3 nH";"LQW15AN4N3C00D";"Murata";"Fit"
21;"L3, L9";"L_0402_1005Metric";2;"24 nH";"LQW15AN24NH00D";"Murata";"Fit"
22;"L4, L7, L10";"L_0402_1005Metric";3;"2 nH";"LQG15HS2N0S02D";"Murata";"Fit"
23;"L5, L6";"IND_VLS3012CX-2R2M-1";2;"VLS3012CX-2R2M-1";"VLS3012CX-2R2M-1";"TDK";"Fit"
24;"L8";"L_0402_1005Metric";1;"3 nH";"LQG15HS3N0S02D";"Murata";"Fit"
25;"L11";"L_XGL4020_4.0x4.0mm";1;"2.2 uH";"XGL4020-222ME";"Coilcraft";"Fit"
26;"Q3, Q4, Q5, Q6";"TRANS_SOT-416_EMT3-EMT3F_ROHM";4;"DTC123J";"DTC123JETL";"Rohm";"Fit"
27;"Q11";"DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm";1;"AONR21321";"AONR21321";"Alpha & Omega";"Fit"
28;"R1, R2, R9, R11, R13, R19, R22, R34, R49, R59, R84, R125, R126, R133, R137";"R_0402_1005Metric";15;"100 k";"RC0402FR-07100KL";"Yageo";"Fit"
29;"R3, R38, R39, R112, R113";"R_0402_1005Metric";5;"22";"RC0402FR-0722RL";"Yageo";"Fit"
30;"R4, R5, R15, R16, R17, R23, R31, R33, R36, R37, R52, R65, R66, R70, R71, R110, R111";"R_0402_1005Metric";17;"10 k";"RC0402FR-0710KL";"Yageo";"Fit"
31;"R8, R10, R12, R18, R51, R64";"R_0402_1005Metric";6;"49.9 k";"RC0402FR-0749K9L";"Yageo";"Fit"
32;"R21";"R_0402_1005Metric";1;"100";"RC0402FR-07100RL";"Yageo";"Fit"
