"Id";"Designator";"Footprint";"Quantity";"Designation";"MPN";"Mfr";"Fit"
1;"C1, C2, C16, C26, C29, C31, C33, C34, C40, C42, C60, C61, C63, C64, C65, C67, C69, C73, C74, C75, C77, C79, C83, C84, C86, C90, C91, C143, C145, C146, C147";"C_0402_1005Metric";31;"100 nF";"CL05B104KO5NNNC";"Samsung";"Fit"
2;"C3, C4, C5, C32, C36, C47, C53, C55, C58, C66, C70, C71, C72, C82, C92, C94, C105, C142, C148";"C_0402_1005Metric";19;"10 uF";"CL05A106MQ5NUNC";"Samsung";"Fit"
3;"C6";"C_0402_1005Metric";1;"220 nF";"CL05B224KO5NNNC";"Samsung";"Fit"
4;"C7, C8, C9, C10, C11, C13, C14, C17, C18, C43, C144";"C_0805_2012Metric";11;"22 uF";"CL21A226MOQNNNE";"Samsung";"Fit"
5;"C15, C56";"CAPMP7.6X4.3_3.1N_KEM";2;"TCJE337M016R0050";"TCJE337M016R0050";"Kemet";"Fit"
6;"C19, C21, C37, C38";"C_0402_1005Metric";4;"22 pF";"CL05C220JB5NNNC";"Samsung";"Fit"
7;"C20, C22, C48, C49";"C_0402_1005Metric";4;"12 pF";"CL05C120JB5NNNC";"Samsung";"Fit"
8;"C25, C27, C30, C35, C39, C41, C52, C54, C59, C62, C76, C78, C80, C81, C85, C87, C89, C98, C99, C100, C102";"C_0402_1005Metric";21;"1 uF";"CL05A105KO5NNNC";"Samsung";"Fit"
9;"C28, C44, C50, C51, C57, C68, C95, C96, C97, C101, C104";"C_0402_1005Metric";11;"10 nF";"CL05B103KB5NNNC";"Samsung";"Fit"
10;"C46";"C_0402_1005Metric";1;"2.2 nF";"CC0402KRX7R9BB222";"Yageo";"Fit"
11;"C93";"C_0402_1005Metric";1;"22 pF";"CL05C220JB5NNNC";"Samsung";"DNP"
12;"C130";"CP_Radial_D10.0mm_P5.00mm";1;"HV1020-2R7505-R";"HV1020-2R7505-R";"Eaton";"Fit"
13;"CR1";"USC_TOS";1;"CUS10S30_H3F";"CUS10S30,H3F";"Toshiba";"Fit"
14;"CR3";"TVS-SP05_LTF";1;"SP0503BAHTG";"SP0503BAHTG";"Littelfuse";"Fit"
15;"D1, D2, D3, D4";"SOD-523_0P9X1P3_ONS";4;"BAT54XV2T1G";"BAT54XV2T1G";"onsemi";"Fit"
16;"D6";"LED_0402_1005Metric";1;"Green";"XL-1005UGC";"Xinglight";"Fit"
17;"D7";"LED_0402_1005Metric";1;"Red";"NCD0402R1";"NationStar";"Fit"
18;"D8";"LED_0402_1005Metric";1;"Blue";"APHHS1005QBC/D";"Kingbright";"Fit"
19;"D9";"SOT-883";1;"BAV170M";"BAV170M,315";"Nexperia";"Fit"
20;"FL1, FL2";"BEADC1608X95N";2;"BLM18PG471SN1D";"BLM18PG471SN1D";"Murata";"Fit"
21;"J1";"CONN_BM05B-SRSS-TB_JST";1;"BM05B-SRSS-TB";"BM05B-SRSS-TB";"JST";"Fit"
22;"J2";"CUI_TBLH11-350-05-BK";1;"JL212R-SMT-35005BP1";"JL212R-SMT-35005BP1";"JILN";"Fit"
23;"J3";"CONN16_878321620_MOL";1;"878321620";"878321620";"Molex";"Fit"
24;"J4";"JST_B4B-PH-SM4-TB";1;"B4B-PH-SM4-TB";"B4B-PH-SM4-TB";"JST";"Fit"
25;"J5";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"Conn_01x04";"BM04B-SRSS-TB";"JST";"Fit"
26;"J6";"GCT_USB4110GFA";1;"USB4110GFA";"USB4110-GF-A";"GCT";"Fit"
27;"J8";"JST_VH_B2P-VH_1x02_P3.96mm_Vertical";1;"JST_B2P-VH";"B2P-VH(LF)(SN)";"JST";"Fit"
28;"L1";"L_0402_1005Metric";1;"4.3 nH";"LQW15AN4N3C00D";"Murata";"Fit"
29;"L3";"L_0402_1005Metric";1;"24 nH";"LQW15AN24NH00D";"Murata";"Fit"
30;"L4";"L_0402_1005Metric";1;"2 nH";"LQG15HS2N0S02D";"Murata";"Fit"
31;"L5, L6, L8";"IND_VLS3012CX-2R2M-1";3;"VLS3012CX-2R2M-1";"VLS3012CX-2R2M-1";"TDK";"Fit"
