min_from_cold_start,min_to,mode,fix_pct,used_median,cn0_median_dbhz,strong_sats,strong_resets_per_sat_min,strong_halfcyc_pct,resets_per_min,halfcyc_pct,dropouts_per_min
1.0,31.0,Drone,100.0,19.0,32.3,5,6.343579893586615,65.04444444444445,57.50,50.6,1.70
31.0,61.0,Drone,100.0,23.0,31.5,5,4.502479865855005,73.0135766748275,58.03,53.4,4.07
61.0,91.0,Drone,100.0,23.0,31.8,5,4.916057375347873,53.168779186124084,58.30,58.1,4.27
91.0,121.0,Drone,100.0,21.0,32.2,4,4.0771846914638425,45.59722222222222,51.73,56.3,1.07
121.0,151.0,Drone,100.0,23.0,31.2,5,4.93603498981776,50.34444444444444,46.27,54.3,5.20
151.0,181.0,Drone,100.0,27.0,31.2,3,6.025502773732366,54.51851851851852,53.10,54.1,1.90
181.0,211.0,Drone,100.0,28.0,30.6,4,3.9438582467840817,44.361111111111114,57.53,56.6,3.03
211.0,241.0,Drone,100.0,27.0,31.0,6,1.5715027437133586,17.85977083990329,54.73,60.6,5.33
241.0,271.0,Drone,100.0,28.0,32.2,5,3.255214847515196,35.3,68.73,58.5,2.27
271.0,301.0,Drone,100.0,27.0,31.6,9,3.982832618025752,57.580233651134684,63.00,58.6,5.00
301.0,331.0,Drone,100.0,30.0,30.8,7,5.298211821746299,77.95950774116713,58.33,59.5,3.17
331.0,361.0,Drone,100.0,29.0,30.7,4,7.554215672023641,86.97222222222223,61.90,58.6,6.77
361.0,391.0,Drone,100.0,28.0,31.2,5,5.91588841778289,75.02045587375804,55.57,57.1,4.83
